Employee_ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany
103,20,Yes,Travel_Frequently,Research & Development,6,BS,Life Sciences,Female,Laboratory Technician,4,Single,2926,Yes,3,1,3,1
104,34,No,Travel_Rarely,Research & Development,6,MS,Other,Female,Research Scientist,3,Single,4809,No,3,16,3,16
105,37,No,Non-Travel,Research & Development,2,FSc,Life Sciences,Male,Healthcare Representative,4,Divorced,5163,No,3,17,4,1
106,59,No,Non-Travel,Human Resources,2,MS,Human Resources,Female,Manager,4,Married,18844,No,4,30,3,3
107,50,No,Travel_Frequently,Research & Development,1,BS,Life Sciences,Female,Research Director,2,Married,18172,Yes,3,28,2,8
108,25,Yes,Travel_Rarely,Sales,5,BS,Marketing,Male,Sales Executive,3,Single,5744,Yes,3,6,3,6
109,25,No,Travel_Rarely,Research & Development,7,Matric,Medical,Male,Research Scientist,4,Married,2889,No,3,2,3,2
110,22,No,Travel_Rarely,Research & Development,15,BS,Medical,Female,Laboratory Technician,4,Single,2871,No,3,1,3,0
111,51,No,Travel_Frequently,Research & Development,1,MS,Medical,Female,Healthcare Representative,1,Single,7484,No,4,23,2,13
112,34,Yes,Travel_Frequently,Research & Development,7,BS,Life Sciences,Male,Laboratory Technician,3,Single,6074,Yes,4,9,3,9
113,54,No,Non-Travel,Human Resources,26,BS,Human Resources,Female,Manager,4,Single,17328,Yes,3,23,3,5
114,24,No,Travel_Rarely,Research & Development,18,Matric,Life Sciences,Male,Laboratory Technician,3,Married,2774,No,3,6,3,5
115,34,No,Travel_Rarely,Research & Development,6,MS,Life Sciences,Female,Research Scientist,2,Divorced,4505,No,3,12,3,1
116,37,No,Travel_Rarely,Sales,3,BS,Life Sciences,Male,Sales Executive,4,Single,7428,No,3,12,3,5
117,34,No,Travel_Rarely,Research & Development,5,BS,Medical,Female,Manager,1,Single,11631,No,3,14,3,11
118,36,No,Travel_Frequently,Sales,11,FSc,Technical Degree,Female,Sales Executive,4,Married,9738,No,3,10,3,9
119,36,No,Travel_Rarely,Research & Development,3,FSc,Life Sciences,Female,Laboratory Technician,4,Divorced,2835,No,4,7,3,1
120,43,No,Travel_Frequently,Sales,26,FSc,Life Sciences,Male,Manager,4,Married,16959,Yes,3,25,4,25
121,30,No,Travel_Frequently,Research & Development,23,BS,Life Sciences,Male,Research Scientist,3,Divorced,2613,No,4,10,2,10
122,33,No,Non-Travel,Sales,22,FSc,Marketing,Male,Sales Executive,2,Married,6146,No,3,8,4,7
123,56,Yes,Travel_Rarely,Research & Development,14,MS,Life Sciences,Female,Research Scientist,2,Married,4963,Yes,3,7,3,5
124,51,No,Travel_Rarely,Research & Development,6,BS,Life Sciences,Male,Research Director,3,Single,19537,No,3,23,3,20
125,31,Yes,Travel_Rarely,Sales,6,MS,Life Sciences,Male,Sales Executive,3,Married,6172,Yes,3,12,2,7
126,26,No,Travel_Rarely,Research & Development,6,BS,Other,Female,Research Scientist,2,Married,2368,No,3,5,2,5
127,58,Yes,Travel_Rarely,Research & Development,23,MS,Medical,Female,Healthcare Representative,4,Married,10312,No,3,40,2,40
128,19,Yes,Travel_Rarely,Sales,22,Matric,Marketing,Male,Sales Representative,3,Single,1675,Yes,3,0,2,0
129,22,No,Travel_Rarely,Research & Development,2,Matric,Technical Degree,Male,Laboratory Technician,4,Married,2523,No,3,3,3,2
130,49,No,Travel_Rarely,Research & Development,20,MS,Medical,Female,Manufacturing Director,1,Married,6567,No,3,16,2,15
131,43,No,Travel_Frequently,Research & Development,28,BS,Medical,Female,Research Scientist,3,Single,4739,No,3,18,3,3
132,50,No,Travel_Frequently,Sales,12,BS,Marketing,Female,Sales Executive,4,Single,9208,No,3,16,3,2
133,31,Yes,Travel_Rarely,Sales,20,BS,Life Sciences,Female,Sales Executive,3,Married,4559,Yes,3,4,3,2
134,41,No,Travel_Rarely,Sales,9,Matric,Life Sciences,Male,Sales Executive,3,Divorced,8189,Yes,3,12,3,9
135,26,No,Travel_Rarely,Human Resources,25,Matric,Life Sciences,Female,Human Resources,3,Married,2942,No,4,8,3,8
136,36,No,Travel_Rarely,Research & Development,6,FSc,Medical,Male,Manufacturing Director,2,Divorced,4941,No,4,7,3,3
137,51,Yes,Travel_Frequently,Research & Development,8,MS,Life Sciences,Male,Manufacturing Director,4,Single,10650,No,3,18,3,4
138,39,No,Travel_Rarely,Sales,4,MS,Life Sciences,Female,Sales Executive,3,Married,5902,No,3,17,4,15
139,25,No,Travel_Rarely,Sales,28,BS,Life Sciences,Male,Sales Executive,3,Married,8639,No,3,6,3,2
140,30,No,Travel_Rarely,Human Resources,9,BS,Human Resources,Male,Human Resources,4,Married,6347,Yes,3,12,1,11
141,32,Yes,Travel_Rarely,Research & Development,9,BS,Medical,Female,Laboratory Technician,1,Single,4200,No,4,10,4,5
142,45,No,Travel_Rarely,Research & Development,29,BS,Medical,Male,Research Scientist,4,Single,3452,No,3,9,2,6
143,38,No,Travel_Rarely,Research & Development,3,PHD,Technical Degree,Female,Research Scientist,3,Single,4317,Yes,4,19,3,3
144,30,No,Travel_Rarely,Research & Development,18,BS,Life Sciences,Female,Research Scientist,3,Single,2632,No,3,5,2,5
145,32,No,Travel_Frequently,Sales,9,FSc,Medical,Male,Sales Executive,4,Divorced,4668,No,3,9,4,8
146,30,No,Travel_Rarely,Research & Development,5,BS,Technical Degree,Female,Research Scientist,1,Divorced,3204,No,3,8,3,3
147,30,No,Travel_Rarely,Research & Development,2,Matric,Medical,Male,Laboratory Technician,4,Single,2720,No,3,6,3,5
148,41,No,Travel_Frequently,Research & Development,10,BS,Life Sciences,Male,Manager,1,Divorced,17181,No,3,21,2,7
149,41,No,Travel_Rarely,Research & Development,9,MS,Life Sciences,Male,Laboratory Technician,1,Married,2238,No,4,7,3,5
150,19,No,Travel_Rarely,Research & Development,3,Matric,Medical,Female,Laboratory Technician,2,Single,1483,No,3,1,3,1
151,40,No,Travel_Frequently,Research & Development,26,BS,Medical,Female,Research Scientist,2,Divorced,5605,No,3,20,3,20
152,35,No,Travel_Rarely,Sales,1,PHD,Marketing,Male,Sales Executive,2,Married,7295,No,3,10,3,10
153,53,No,Travel_Rarely,Sales,6,FSc,Marketing,Male,Sales Representative,3,Married,2306,Yes,4,13,1,7
154,45,No,Travel_Rarely,Research & Development,9,BS,Life Sciences,Male,Laboratory Technician,2,Divorced,2348,No,3,20,1,17
155,32,No,Travel_Frequently,Sales,8,BS,Marketing,Female,Sales Executive,4,Single,8998,No,3,9,3,9
156,29,No,Non-Travel,Research & Development,1,Matric,Technical Degree,Male,Manufacturing Director,3,Married,4319,No,3,10,3,10
157,51,No,Travel_Rarely,Research & Development,7,MS,Medical,Male,Manufacturing Director,3,Married,6132,No,3,10,3,1
158,58,No,Travel_Rarely,Research & Development,9,BS,Medical,Female,Research Scientist,2,Married,3346,Yes,4,9,2,1
159,40,No,Travel_Rarely,Sales,4,MS,Marketing,Male,Sales Executive,4,Married,10855,No,3,15,2,12
160,34,No,Travel_Frequently,Sales,2,MS,Marketing,Female,Sales Representative,3,Married,2231,No,3,6,3,4
161,22,No,Travel_Rarely,Research & Development,19,Matric,Medical,Male,Research Scientist,4,Married,2323,No,4,2,3,2
162,27,No,Non-Travel,Research & Development,9,BS,Medical,Male,Research Scientist,2,Divorced,2024,No,3,6,1,2
163,28,No,Travel_Rarely,Research & Development,21,BS,Medical,Male,Research Scientist,4,Married,2713,No,3,5,1,5
164,57,No,Travel_Rarely,Research & Development,24,FSc,Life Sciences,Male,Healthcare Representative,4,Divorced,9439,Yes,3,12,1,5
165,27,No,Non-Travel,Research & Development,3,BS,Medical,Male,Research Scientist,3,Divorced,2566,Yes,3,1,2,1
166,50,No,Travel_Rarely,Research & Development,11,BS,Life Sciences,Female,Manager,2,Single,19926,No,3,21,3,5
167,41,No,Travel_Rarely,Research & Development,14,BS,Life Sciences,Male,Research Scientist,3,Divorced,2451,No,3,13,3,9
168,30,No,Travel_Rarely,Sales,5,BS,Life Sciences,Female,Sales Executive,4,Married,9419,No,3,12,3,10
169,38,No,Travel_Rarely,Sales,1,MS,Life Sciences,Female,Sales Executive,4,Single,8686,No,4,12,4,8
170,32,No,Travel_Rarely,Research & Development,6,PHD,Life Sciences,Male,Research Scientist,3,Single,3038,No,4,8,3,5
171,27,No,Travel_Rarely,Research & Development,17,BS,Technical Degree,Male,Research Scientist,2,Married,3058,Yes,3,6,2,5
172,19,Yes,Travel_Frequently,Sales,1,Matric,Technical Degree,Female,Sales Representative,1,Single,2325,No,4,1,4,0
173,36,No,Travel_Frequently,Research & Development,3,FSc,Medical,Male,Laboratory Technician,2,Single,2088,No,3,13,2,8
174,30,No,Non-Travel,Research & Development,9,BS,Medical,Male,Laboratory Technician,1,Divorced,3072,No,3,12,3,12
175,45,No,Travel_Rarely,Sales,4,FSc,Life Sciences,Female,Sales Executive,1,Divorced,5006,Yes,3,9,4,5
176,56,No,Travel_Rarely,Research & Development,8,BS,Life Sciences,Female,Research Scientist,1,Divorced,4257,Yes,3,19,3,2
177,33,No,Travel_Rarely,Research & Development,2,BS,Life Sciences,Male,Research Scientist,4,Single,2500,No,3,4,4,3
178,19,Yes,Travel_Rarely,Research & Development,2,BS,Life Sciences,Male,Laboratory Technician,4,Single,1102,No,4,1,2,1
179,46,No,Travel_Rarely,Sales,1,FSc,Marketing,Female,Sales Executive,1,Divorced,10453,No,4,24,3,24
180,38,No,Travel_Rarely,Research & Development,9,FSc,Life Sciences,Female,Laboratory Technician,4,Single,2288,No,3,2,3,2
181,31,No,Travel_Rarely,Research & Development,12,Matric,Medical,Female,Research Scientist,4,Married,3929,Yes,4,7,3,4
182,34,No,Travel_Rarely,Research & Development,27,FSc,Medical,Female,Research Scientist,2,Single,2311,No,3,9,3,3
183,41,Yes,Travel_Rarely,Sales,20,FSc,Marketing,Female,Sales Representative,2,Single,3140,Yes,4,4,2,4
184,50,No,Travel_Rarely,Research & Development,1,BS,Medical,Male,Laboratory Technician,3,Married,3690,No,3,5,2,3
185,53,No,Travel_Rarely,Research & Development,13,FSc,Medical,Female,Manufacturing Director,1,Divorced,4450,No,3,5,3,4
186,33,No,Travel_Rarely,Research & Development,14,BS,Medical,Female,Research Scientist,2,Married,2756,No,3,8,3,8
187,40,No,Travel_Rarely,Research & Development,4,Matric,Medical,Female,Manager,3,Married,19033,No,3,21,3,20
188,55,No,Travel_Rarely,Research & Development,14,MS,Medical,Male,Research Director,2,Single,18722,No,3,36,3,24
189,34,No,Travel_Frequently,Research & Development,2,Matric,Life Sciences,Male,Manufacturing Director,3,Married,9547,No,3,10,2,10
190,51,No,Travel_Rarely,Research & Development,3,BS,Medical,Female,Healthcare Representative,2,Single,13734,No,3,21,3,7
191,52,No,Travel_Rarely,Research & Development,1,MS,Life Sciences,Male,Manager,3,Married,19999,No,3,34,3,33
192,27,No,Travel_Rarely,Research & Development,9,BS,Medical,Female,Research Scientist,2,Single,2279,No,3,7,2,7
193,35,Yes,Travel_Rarely,Research & Development,23,FSc,Life Sciences,Male,Manufacturing Director,3,Married,5916,Yes,3,8,3,1
194,43,No,Non-Travel,Research & Development,7,BS,Medical,Male,Research Scientist,4,Divorced,2089,No,3,7,4,5
195,45,No,Non-Travel,Research & Development,2,FSc,Medical,Male,Manager,4,Married,16792,No,4,22,3,20
196,37,No,Travel_Rarely,Research & Development,21,BS,Life Sciences,Male,Research Scientist,1,Married,3564,Yes,3,8,2,8
197,35,No,Travel_Frequently,Research & Development,2,BS,Medical,Female,Laboratory Technician,2,Single,4425,No,3,10,3,6
198,42,No,Non-Travel,Research & Development,21,FSc,Medical,Female,Manufacturing Director,3,Divorced,5265,No,3,11,3,5
199,38,No,Travel_Rarely,Research & Development,2,MS,Life Sciences,Male,Manufacturing Director,3,Married,6553,No,3,14,3,1
200,38,No,Travel_Rarely,Research & Development,29,BS,Technical Degree,Male,Manufacturing Director,4,Married,6261,No,3,9,1,7
201,27,No,Travel_Frequently,Research & Development,1,Matric,Technical Degree,Male,Manufacturing Director,1,Married,4298,No,3,6,3,2
202,49,No,Non-Travel,Research & Development,18,MS,Life Sciences,Male,Manufacturing Director,4,Divorced,6804,Yes,3,7,3,7
203,34,No,Travel_Frequently,Research & Development,10,MS,Medical,Male,Research Scientist,3,Divorced,3815,Yes,3,5,4,5
204,40,No,Travel_Rarely,Research & Development,19,FSc,Medical,Male,Laboratory Technician,4,Married,2741,Yes,3,15,4,7
205,38,Yes,Travel_Rarely,Research & Development,29,Matric,Medical,Male,Healthcare Representative,1,Married,6673,Yes,3,17,3,1
206,29,Yes,Travel_Rarely,Sales,27,BS,Marketing,Female,Sales Executive,4,Married,7639,No,4,10,2,10
207,22,No,Travel_Rarely,Research & Development,5,BS,Life Sciences,Male,Research Scientist,2,Divorced,2328,Yes,3,4,2,4
208,36,No,Travel_Frequently,Research & Development,18,Matric,Medical,Female,Laboratory Technician,4,Single,2153,No,3,8,3,8
209,40,No,Non-Travel,Research & Development,9,PHD,Life Sciences,Male,Healthcare Representative,4,Married,4876,No,3,5,1,3
210,46,No,Travel_Rarely,Research & Development,1,MS,Medical,Male,Healthcare Representative,1,Divorced,9396,No,3,17,3,4
211,32,Yes,Travel_Rarely,Sales,4,MS,Medical,Male,Sales Executive,4,Married,10400,No,3,14,2,14
212,30,No,Non-Travel,Research & Development,1,Matric,Life Sciences,Male,Manufacturing Director,3,Single,8474,No,4,12,3,11
213,27,No,Travel_Frequently,Sales,20,BS,Life Sciences,Female,Sales Executive,3,Single,9981,No,3,7,3,7
214,51,No,Travel_Rarely,Research & Development,8,MS,Life Sciences,Male,Research Director,2,Married,12490,No,3,16,1,10
215,30,Yes,Travel_Rarely,Research & Development,3,BS,Technical Degree,Female,Research Scientist,1,Single,2657,Yes,3,8,3,5
216,41,No,Travel_Rarely,Sales,6,BS,Life Sciences,Female,Manager,4,Single,13591,Yes,3,16,3,1
217,30,Yes,Travel_Frequently,Sales,26,MS,Marketing,Female,Sales Executive,1,Single,6696,No,3,9,2,6
218,29,Yes,Travel_Rarely,Research & Development,1,BS,Technical Degree,Male,Research Scientist,3,Single,2058,No,3,7,2,6
219,45,No,Non-Travel,Sales,6,BS,Medical,Female,Sales Executive,4,Single,8865,No,3,23,3,19
220,54,No,Travel_Rarely,Sales,3,BS,Marketing,Female,Sales Executive,1,Married,5940,No,3,16,3,6
221,36,No,Travel_Rarely,Research & Development,5,FSc,Life Sciences,Male,Laboratory Technician,2,Single,5914,No,3,16,4,13
222,33,No,Travel_Rarely,Research & Development,4,MS,Medical,Female,Research Scientist,2,Married,2622,No,4,7,3,3
223,37,No,Travel_Frequently,Research & Development,11,BS,Other,Male,Research Director,4,Divorced,12185,Yes,3,10,3,10
224,38,No,Travel_Rarely,Sales,3,BS,Life Sciences,Male,Sales Executive,3,Divorced,10609,No,3,17,2,16
225,31,No,Non-Travel,Research & Development,1,MS,Medical,Male,Manufacturing Director,3,Married,4345,No,3,6,3,5
